ID,NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_det,tu_geo,tu_ch,td_det,td_geo,td_ch,qu_geo,qu_ch,qd_geo,qd_ch,is_tref,is_hpc,id_hpc,Ignore
1,101,13,3,1,-1901.8,0,9555.64,0.09766,-5,0,0.0468656,83.0971,0.0976609,0,0,0.0481699,69.9128,7.098240,-13.393300,0,42,11,0,42,11,16,21,0,21,16,0,0,0,0
2,102,13,3,1,-1779.4,0,9555.64,0.0976609,-5,0,0.0452642,90.8877,0.0976607,0,0,0.0487688,77.8135,7.231660,-8.646280,0,42,11,1,42,11,17,21,1,21,17,0,0,0,0
3,103,13,3,1,-1657,0,9555.64,0.0976605,-5,0,0.0418224,91.1656,0.0976608,0,0,0.042041,64.6867,7.197370,-12.029100,0,42,11,2,42,11,18,21,2,21,18,0,0,0,0
4,104,13,3,1,-1534.6,0,9555.64,0.0976604,-5,0,0.044196,73.0724,0.0976609,0,0,0.0455891,67.3431,7.036390,-14.436100,0,42,11,3,42,11,19,21,3,21,19,0,0,0,0
5,105,13,3,1,-1412.2,0,9555.64,0.0976601,-5,0,0.0447297,85.7372,0.0976607,0,0,0.0479397,59.7213,7.231760,-6.016080,0,42,11,4,42,11,20,21,4,21,20,0,0,0,0
6,106,13,3,1,-1289.8,0,9555.64,0.0976603,-5,0,0.0412648,77.6937,0.0976609,0,0,0.0485406,65.7156,7.254560,-10.175200,0,42,11,5,42,11,21,21,5,21,21,0,0,0,0
7,107,13,3,1,-1167.4,0,9555.64,0.0976604,-5,0,0.0442331,84.9311,0.0976609,0,0,0.0476535,62.3105,7.091910,-10.645400,0,42,11,6,42,11,22,21,6,21,22,0,0,0,0
8,108,13,3,1,-1045,0,9555.64,0.0976604,-5,0,0.0478615,80.5903,0.097661,0,0,0.0456852,59.4879,7.015530,-12.653800,0,42,11,7,42,11,23,21,7,21,23,0,0,0,0
9,109,13,3,1,-922.6,0,9555.64,0.0976604,-5,0,0.0368651,81.7785,0.0976612,0,0,0.0467015,46.7354,7.162890,-24.980000,0,42,11,8,42,11,24,21,8,21,24,0,0,0,0
10,110,13,3,1,-800.2,0,9555.64,0.0976607,-5,0,0.042209,89.7642,0.0976608,0,0,0.0474756,67.1766,6.973120,-3.857940,0,42,11,9,42,11,25,21,9,21,25,0,0,0,0
11,111,13,3,1,-677.8,0,9555.64,0.0976607,-5,0,0.0421214,87.6839,0.0976611,0,0,0.0429699,63.6997,7.162130,-9.393790,0,42,11,10,42,11,26,21,10,21,26,0,0,0,0
12,112,13,3,1,-555.4,0,9555.64,0.0976606,-5,0,0.0465759,95.9176,0.0976608,0,0,0.0486517,81.8709,7.166400,-16.538800,0,42,11,11,42,11,27,21,11,21,27,0,0,0,0
13,113,13,3,1,-433,0,9555.64,0.0976605,-5,0,0.042053,84.7089,0.097661,0,0,0.0473495,58.4016,7.189030,-14.313100,0,42,11,12,42,11,28,21,12,21,28,0,0,0,0
14,114,13,3,1,-310.6,0,9555.64,0.0976606,-5,0,0.0445427,92.0072,0.0976608,0,0,0.0457647,62.1322,7.223740,-7.633150,0,42,11,13,42,11,29,21,13,21,29,0,0,0,0
15,115,13,3,1,-188.2,0,9555.64,0.0976606,-5,0,0.0477649,81.5376,0.0976609,0,0,0.0510747,61.0829,7.049370,-11.268500,0,42,11,14,42,11,30,21,14,21,30,0,0,0,0
16,116,13,3,1,-65.8,0,9555.64,0.0976605,-5,0,0.0471244,68.9477,0.0976605,0,0,0.0441932,78.1362,7.208190,0.090472,0,42,11,44,42,11,60,22,12,22,28,0,0,0,0
17,117,13,3,1,56.6,0,9555.64,0.0976606,-5,0,0.046714,78.4326,0.0976604,0,0,0.0489366,68.461,7.310380,8.818590,0,42,11,33,42,11,49,22,1,22,17,0,0,0,0
18,118,13,3,1,179,0,9555.64,0.0976607,-5,0,0.0471811,84.686,0.0976602,0,0,0.0438936,59.5224,7.272310,10.338700,0,42,11,34,42,11,50,22,2,22,18,0,0,0,0
