ID,NAME,FPL,layer,id_plane,anodedir,wireid,wirepos,wirez,tzero_offset,det,geo,ch,dxcorr_factor
1,BDC1_0_0,13,0,21,X,0,35,-16.8,0,27,0,0,7.56E-001
2,BDC1_0_1,13,0,21,X,1,30,-16.8,0,27,0,1,7.56E-001
3,BDC1_0_2,13,0,21,X,2,25,-16.8,0,27,0,2,7.56E-001
4,BDC1_0_3,13,0,21,X,3,20,-16.8,0,27,0,3,7.56E-001
5,BDC1_0_4,13,0,21,X,4,15,-16.8,0,27,0,4,7.56E-001
6,BDC1_0_5,13,0,21,X,5,10,-16.8,0,27,0,5,7.56E-001
7,BDC1_0_6,13,0,21,X,6,5,-16.8,0,27,0,6,7.56E-001
8,BDC1_0_7,13,0,21,X,7,0,-16.8,0,27,0,7,7.56E-001
9,BDC1_0_8,13,0,21,X,8,-5,-16.8,0,27,0,8,7.56E-001
10,BDC1_0_9,13,0,21,X,9,-10,-16.8,0,27,0,9,7.56E-001
11,BDC1_0_10,13,0,21,X,10,-15,-16.8,0,27,0,10,7.56E-001
12,BDC1_0_11,13,0,21,X,11,-20,-16.8,0,27,0,11,7.56E-001
13,BDC1_0_12,13,0,21,X,12,-25,-16.8,0,27,0,12,7.56E-001
14,BDC1_0_13,13,0,21,X,13,-30,-16.8,0,27,0,13,7.56E-001
15,BDC1_0_14,13,0,21,X,14,-35,-16.8,0,27,0,14,7.56E-001
16,BDC1_0_15,13,0,21,X,15,-40,-16.8,0,27,0,15,7.56E-001
17,BDC1_1_0,13,1,22,X,0,37.5,-12,0,27,0,31,1.23138
18,BDC1_1_1,13,1,22,X,1,32.5,-12,0,27,0,30,1.23138
19,BDC1_1_2,13,1,22,X,2,27.5,-12,0,27,0,29,1.23138
20,BDC1_1_3,13,1,22,X,3,22.5,-12,0,27,0,28,1.23138
21,BDC1_1_4,13,1,22,X,4,17.5,-12,0,27,0,27,1.23138
22,BDC1_1_5,13,1,22,X,5,12.5,-12,0,27,0,26,1.23138
23,BDC1_1_6,13,1,22,X,6,7.5,-12,0,27,0,25,1.23138
24,BDC1_1_7,13,1,22,X,7,2.5,-12,0,27,0,24,1.23138
25,BDC1_1_8,13,1,22,X,8,-2.5,-12,0,27,0,23,1.23138
26,BDC1_1_9,13,1,22,X,9,-7.5,-12,0,27,0,22,1.23138
27,BDC1_1_10,13,1,22,X,10,-12.5,-12,0,27,0,21,1.23138
28,BDC1_1_11,13,1,22,X,11,-17.5,-12,0,27,0,20,1.23138
